Date,Ingredient,Stock Level (kg/liters),Wastage (kg/liters)
2025-08-08,Sugar,32,2.1
2025-08-09,Rice,25,2.82
2025-08-09,Vegetables,9,1.02
2025-08-09,Chicken,42,3.32
2025-08-09,Eggs,28,3.48
2025-08-09,Bread,39,1.01
2025-08-09,Tea Leaves,49,4.44
2025-08-09,Milk,20,0.23
2025-08-09,Sugar,5,2.66
2025-08-10,Rice,50,1.89
2025-08-10,Vegetables,45,3.94
2025-08-10,Chicken,21,1.64
2025-08-10,Eggs,13,4.67
2025-08-10,Bread,31,4.65
2025-08-10,Tea Leaves,8,4.0
2025-08-10,Milk,32,1.98
2025-08-10,Sugar,17,1.47
2025-08-11,Rice,19,2.37
2025-08-11,Vegetables,47,0.3
2025-08-11,Chicken,37,2.95
2025-08-11,Eggs,15,2.18
2025-08-11,Bread,44,4.1
2025-08-11,Tea Leaves,44,3.7
2025-08-11,Milk,35,0.75
2025-08-11,Sugar,49,4.15
2025-08-12,Rice,21,1.15
2025-08-12,Vegetables,48,2.29
2025-08-12,Chicken,39,0.37
2025-08-12,Eggs,36,0.28
2025-08-12,Bread,32,2.99
2025-08-12,Tea Leaves,43,4.84
2025-08-12,Milk,5,4.83
2025-08-12,Sugar,15,1.33
2025-08-13,Rice,19,4.11
2025-08-13,Vegetables,13,4.19
2025-08-13,Chicken,44,3.25
2025-08-13,Eggs,16,2.89
2025-08-13,Bread,41,2.18
2025-08-13,Tea Leaves,8,1.55
2025-08-13,Milk,12,2.39
2025-08-13,Sugar,30,0.45
2025-08-14,Rice,31,0.68
2025-08-14,Vegetables,6,3.91
2025-08-14,Chicken,26,1.8
2025-08-14,Eggs,48,1.99
2025-08-14,Bread,38,2.55
2025-08-14,Tea Leaves,21,4.74
2025-08-14,Milk,21,2.13
2025-08-14,Sugar,48,3.89
2025-08-15,Rice,5,4.9
2025-08-15,Vegetables,32,0.96
2025-08-15,Chicken,32,3.93
2025-08-15,Eggs,27,3.87
2025-08-15,Bread,9,2.11
2025-08-15,Tea Leaves,29,0.72
2025-08-15,Milk,16,2.31
2025-08-15,Sugar,34,0.92
2025-08-16,Rice,37,4.39
2025-08-16,Vegetables,29,3.17
2025-08-16,Chicken,41,4.99
2025-08-16,Eggs,37,3.29
2025-08-16,Bread,7,4.93
2025-08-16,Tea Leaves,31,0.81
2025-08-16,Milk,5,2.51
2025-08-16,Sugar,25,0.92
2025-08-17,Rice,17,4.68
2025-08-17,Vegetables,14,0.82
2025-08-17,Chicken,41,2.7
2025-08-17,Eggs,36,0.85
2025-08-17,Bread,11,3.87
2025-08-17,Tea Leaves,31,0.36
2025-08-17,Milk,30,0.17
2025-08-17,Sugar,28,0.33
2025-08-18,Rice,43,4.0
2025-08-18,Vegetables,15,4.55
2025-08-18,Chicken,21,3.64
2025-08-18,Eggs,16,0.49
2025-08-18,Bread,43,3.75
2025-08-18,Tea Leaves,43,2.59
2025-08-18,Milk,7,1.64
2025-08-18,Sugar,13,2.28
2025-08-19,Rice,7,0.59
2025-08-19,Vegetables,16,1.0
2025-08-19,Chicken,32,4.81
2025-08-19,Eggs,21,0.79
2025-08-19,Bread,35,1.12
2025-08-19,Tea Leaves,48,4.23
2025-08-19,Milk,10,4.92
2025-08-19,Sugar,22,4.79
2025-08-20,Rice,14,4.17
2025-08-20,Vegetables,41,4.16
2025-08-20,Chicken,6,4.48
2025-08-20,Eggs,32,3.06
2025-08-20,Bread,22,1.99
2025-08-20,Tea Leaves,16,3.81
2025-08-20,Milk,20,2.05
2025-08-20,Sugar,47,1.31
2025-08-21,Rice,14,3.77
2025-08-21,Vegetables,49,2.23
2025-08-21,Chicken,41,1.84
2025-08-21,Eggs,49,0.9
2025-08-21,Bread,12,1.38
2025-08-21,Tea Leaves,35,1.57
2025-08-21,Milk,18,1.19
2025-08-21,Sugar,21,4.76
